source;target;correlation
2-ketobutyric acid;l-tyrosine;0.533720320083584
2-ketobutyric acid;succinic acid;0.5568398909922077
2-ketobutyric acid;3-(2-hydroxyphenyl)propanoic acid;-0.33087485794167665
2-ketobutyric acid;phenylacetylglutamine;0.1466630967773455
2-ketobutyric acid;l-phenylalanine;-0.07312860694658208
2-ketobutyric acid;phenylacetic acid;-0.25729944982940967
2-ketobutyric acid;putrescine;0.7587080351528209
2-ketobutyric acid;gamma-glutamylcysteine;0.7500792155725899
2-ketobutyric acid;pyroglutamic acid;0.5250888155812734
2-ketobutyric acid;l-cysteine;0.01604329244070412
2-ketobutyric acid;quinate;0.531093977294367
2-ketobutyric acid;l-2,4-diaminobutyric acid;-0.16499620597381445
2-ketobutyric acid;glyceric acid;0.5326559015034881
2-ketobutyric acid;choline;0.083185345885918
2-ketobutyric acid;4-acetamidobutanoate;0.7152846990182469
2-ketobutyric acid;2-oxoarginine;-0.27378560869545937
2-ketobutyric acid;l-glutamic gamma-semialdehyde;0.002697896615654338
2-ketobutyric acid;uric acid;0.607540100092789
2-ketobutyric acid;adenine;0.3718173529735386
2-ketobutyric acid;deoxyinosine;-0.5061835272360239
2-ketobutyric acid;guanine;-0.029038944915871782
2-ketobutyric acid;sulfate;-0.2700845305989009
2-ketobutyric acid;hypoxanthine;-0.4501858068464725
2-ketobutyric acid;inosine;-0.6695190195434668
2-ketobutyric acid;d-galactose;0.37623087434245817
2-ketobutyric acid;alpha-d-glucose;0.4601669952892094
2-ketobutyric acid;sucrose;0.20665746745724153
2-ketobutyric acid;taurine;0.6717197300834199
2-ketobutyric acid;acetylphosphate;0.03400345617623331
l-valine;l-threonine;-0.3403684403306781
l-valine;2-isopropylmalic acid;0.6178662550703028
l-valine;l-tyrosine;0.17006579238899633
l-valine;succinic acid;0.46405851040664287
l-valine;3-(2-hydroxyphenyl)propanoic acid;0.3727426022904381
l-valine;phenylacetylglutamine;-0.009405159753579716
l-valine;l-phenylalanine;0.36723183301805384
l-valine;phenylacetic acid;0.23420983934124337
l-valine;putrescine;0.5180230978572706
l-valine;gamma-glutamylcysteine;0.41807560901023116
l-valine;pyroglutamic acid;0.5786850565515141
l-valine;l-cysteine;-0.5023685084430167
l-valine;quinate;0.5410161508715389
l-valine;l-2,4-diaminobutyric acid;0.30130262058616986
l-valine;glyceric acid;0.5143166377909717
l-valine;choline;-0.23839562697518604
l-valine;4-acetamidobutanoate;0.6285602650823394
l-valine;2-oxoarginine;0.5906773652178404
l-valine;l-glutamic gamma-semialdehyde;0.45751364541131534
l-valine;uric acid;0.18393901336255633
l-valine;adenine;0.14029589406396614
l-valine;deoxyinosine;-0.3328366479437656
l-valine;guanine;0.385185037372936
l-valine;sulfate;-0.15554394661603857
l-valine;hypoxanthine;0.24268635478716377
l-valine;inosine;0.0754618408141458
l-valine;d-galactose;0.28526787721844377
l-valine;alpha-d-glucose;0.2384149040969926
l-valine;sucrose;-0.24068441507589836
l-valine;taurine;0.45272927848770733
l-valine;acetylphosphate;-0.11015347985028956
l-threonine;2-isopropylmalic acid;-0.5743521918845799
l-threonine;l-tyrosine;-0.4539847020288135
l-threonine;succinic acid;-0.5570514458252538
l-threonine;3-(2-hydroxyphenyl)propanoic acid;0.5276778392165753
l-threonine;phenylacetylglutamine;-0.14653018487125744
l-threonine;l-phenylalanine;0.04743249376212277
l-threonine;phenylacetic acid;-0.12148856860873901
l-threonine;putrescine;-0.623762700880112
l-threonine;gamma-glutamylcysteine;-0.63307862454683
l-threonine;pyroglutamic acid;-0.5293845279287787
