"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Taurine","9966449.968","12578698.04","16005907.47","11241054.21","14631545.27","18383069.74","10985765.75","7983167.972","14096346.62","18708656.37","18414757.96","23705888.23","14069896.54","23782866.97","18947629.69","18169696.37","17344779.69","36389878.18","29666742.1","41712083.73","53679261.82","54297200.78","55621572.64","50261453.27","62654463.31","46622805.39","77261805.67","68065733.35","46793938.98","55569706.71","77805587.52","43818187.27","76480363.82","49980622.26","46511811.44","82108694.57","38733860.08","59908921.4","26993961.93","77937155.11"
"Citrulline","3855941.221","1258177.215","1406819.515","1795095.008","3297227.111","2734065.502","1625127.011","1854211.227","1688866.183","1913746.837","1683300.174","2060726.1","3070275.831","1904238.939","5120333.201","2811325.861","6165084.418","4898838.766","4304118.916","8810838.989","22619790.56","11414200.09","12645812.26","9893493.294","11602785.15","12070222.54","25805449.96","7429375.869","6253861.034","8675933.186","20063885.81","6419299.436","22165363.46","8104141.222","13733802.57","16753193.7","29467760.2","17003546.13","11554135.93","9509659.651"
"2-Ketobutyric acid","34452013.78","31438438.48","24880392.12","24944208.56","28213078.92","30695480.82","28883520.67","34516093.28","25837618.71","39103096.63","46303786.23","38930216.47","39287743.99","41903716.21","53026093.5","55055773.55","49008525.59","55538824.76","52856987.48","51608839.4","80990047.09","62764821.45","90889943.03","171840884.3","78051143.12","81028852.27","45878259.71","56126637.99","69669302.38","55485088.9","103264894.9","76965157.35","62467591.45","69206588.02","81232822.04","59137847.04","79386780.62","72312704.87","56487886.08","61116607.99"
"Hypoxanthine","29504843.58","36784580","109393542.3","103825129.7","177785025.3","225353658.6","27108575.48","19567809.17","81669121.03","96512831.01","37136385.6","36771448.02","38724548.04","34101477.19","31314841.24","45826805.75","61849765.3","57733432.3","32308409.11","42694223.27","70644392.67","73954515.48","249784589","253170764.9","107750918.2","120469500.5","34855501.54","147000427.6","102960156.9","236693917.3","238656347.1","104476627.9","225827132.2","133282726.6","80462154.66","458491394.2","4641296.056","5045798.519","54774082.98","244670051.2"
"Succinic acid","13405321.47","6668389.74","8153328.044","14491117.43","12723470.02","16228440.53","8016024.459","10260371.33","12609414.57","11362165.07","11665835.72","16520487.52","15227367.32","15490256.55","14295184.7","14738099","18862815.26","15191734.51","27671368.74","16155044.49","34756170.41","40987124.83","35864210.11","52785842.48","38379246.76","24886271.49","56129841.45","82834381.14","38597141.69","36567442.56","42744748.63","30054531.45","42069358.88","49021257.64","42271217.45","86560880.07","36089207.33","31703069.48","29644807.2","40566779.66"
"Mesaconate","17003959.02","11193531.55","14045090.03","15888475.56","16755677.29","19870963.76","22189565.32","23781368.28","19443620.12","17762919.85","26096791.16","24280812.01","22019893.1","22441669.22","14543908.63","22671005.75","17844103.96","26207483.78","30969743.61","21519293.31","30740514.55","27067388.65","22309225.9","31654841.39","27627119.4","25195622.42","28687006.22","37234887.59","23221702.38","21067768.57","28387479.86","24977638.87","27147679.05","29235864.08","31232861.61","34275071.55","33104654.82","27405907.36","25552634.96","22281875.01"
"N-Acetyl-L-glutamate 5-semialdehyde","3469255.131","5422490.903","8367930.558","6762127.651","5176107.441","4993694.282","7877732.197","4923733.272","3797625.866","3753154.42","3262553.709","3275044.602","2204890.737","2488417.437","2622252.872","2453465.805","1844037.657","2681259.442","2166015.54","1071994.43","1840294.37","1389333.733","1126758.256","552769.3658","1295533.658","994739.4257","1291934.437","1170874.164","1125253.933","632972.2033","962334.589","1135805.365","1765558.995","967513.301","1292392.483","1896206.608","887707.6454","999034.1448","722331.6396","2113543.99"
"Pyroglutamic acid","43628926.55","24993764.81","23898040.4","30549190.77","62157420.78","80976222.29","14244191.04","35571727.1","53488475.17","80009398.64","33502496.3","62018940.68","118577761.4","27985746.83","35072478.97","122872418","83952583.14","50864915.99","169660326.1","214975711.2","451466447.3","394761619.9","504104826","819745622.8","723867951.8","705345712.7","1053982024","681982541.9","539665934.8","573958612.4","685709930.8","495151690.9","494869396","587106945","593364000.3","1216407346","1045904236","1004230609","461004554.5","592239443.7"
"L-Tyrosine","27976821.35","30338571.63","40640339.18","25280171.51","20705080.96","30540179.97","27574823.67","34053263.37","44662644.29","21269051.2","47249626.48","43806894.98","29506573.63","44273377.46","25791817.56","36615289.45","44936314.96","52757594.94","57100201.2","63587984.84","151240078.7","149063088.3","152546552.8","132393377.3","123510814.3","125094166.5","172659876.5","120558715","91765477.22","125317983.4","228265344.6","140407200.2","142617953","133274264.8","94050024.37","227450237.1","182955138.9","191267390.8","76936027.83","200274368.6"
"Gluconic acid","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","371885559.7","98284053.04","72090783.15","91802817.32","43811952.85","176325605.6","218957350.9","74697337.37","82733161.05","180841837.9","183727419.9","74893591.26","129414360","179963998.3","322130084.2","118845136","123684929.8","96640419.22","185392814.3","57293518.2","100823940.8","97449435.98"
"Palmitic acid","55316104.44","47145555.86","60986035.52","68881477.85","67300297.59","26461582.93","50664342.33","25736557.24","48326895.39","57110326.48","51295434.95","21687972.44","58036029.88","68864459.33","65201228.97","67897298.38","70965889.96","35136875.24","43437246.08","56816005.54","31283681.08","62020469.44","69133974.75","45809386.07","49610088.95","60446043.46","56527973.57","84769138","102129129.8","66276359.58","49617806.37","67258666.79","95756208.01","79797827.32","39534454.85","113155167.1","31053201.14","67946068.6","130272873.4","100240787.8"
"Theobromine","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","144391905.7","48580782.87","4392479.448","35186312.99","27069840.01","18139997.09","21613612.06","17255239.03","28706790.75","33295802.39","25209995.19","18245766.02","24959521.94","6083460.699","36867099.26","35342639.69","25899362.4","20971393.65","19002517.48","45250848.4","28519710.95","19296527.23"
"Dehydroepiandrosterone","56904212.55","75696224.42","55057083.76","37414117.35","49026389.35","68978557.32","23350029.75","76831228.65","58874965.25","48014364.24","37949220.43","30528446.25","47896829.84","29850791.97","21949634.53","34104478.08","36227342.05","28345809.43","23050517.98","26514528.24","29568450.2","22931430.94","18786966.54","25731519.31","42903874.15","31915932.95","47380834.34","30570664.55","28601889.62","14669330.57","20120190.22","15186195.36","86612571.36","36977623.2","28227913.6","36760722.36","23735894.85","23566789.62","41306679.16","24718992.84"
"D-Glucuronic Acid","25624342.1","11470980","5775751.54","8718841.164","8871584.108","8512004.058","20532737.87","15438744.29","7312472.182","6211653.378","12510135.17","13012468.82","7832078.257","9284657.649","12794699.69","13455902.81","11293816.09","11250494","9998189.992","9847084.917","20489853.5","16124492.64","45269861.76","25793346.82","22934136.6","50539112","17285762.29","22959731.83","23774876.26","18447798.12","29727605.87","35509430.71","52425704.82","34549449.53","23702146.7","19136573.63","40341717.14","38668548.88","19096064.42","29112350.98"
"N-Acetylglutamic acid","1170315.879","916544.2752","1410258.588","3842234.128","2903530.714","412971.2543","1483295.127","1497868.025","1524169.99","321713.5877","2078916.123","1791093.513","241072.4328","2123231.16","2333280.095","2817364.165","3434543.348","3663412.949","1847341.455","2340182.621","1401112.646","12014341.05","16580187.18","6391038.356","4647806.388","7519995.995","9243828.893","7444790.928","7191295.181","4409663.679","6538382.391","6076921.082","13828298.82","5229977.47","4850111.89","23291336.51","6836997.451","4330359.96","2085003.08","3173988.092"
"all-trans-Retinoic acid","5026562.304","601540.9315","3664249.642","1069543.707","4600945.302","4804448.246","5671205.87","4098354.695","973800.6269","4289231.655","5219377.672","2441632.883","5088607.941","4589474.873","6803926.568","2237412.979","14093582.95","11260073.07","2754124.402","3432544.541","2694449.725","13173066.82","8514510.253","7872414.039","13130165.7","14832097.91","20023008.78","27050594.4","6624568.773","5629898.589","3941991.251","15312630.69","5668466.343","32497764.65","3977556.241","8459299.27","5547725.938","23958177","23103586.91","25153684.85"
"L-Cystine","148483061.7","10.63188616","10.63188616","430276406.6","145304724.2","68081747.07","44754097.91","30269275.82","27118746.72","16997181.85","15897333.67","12192406.94","10035526.95","10227422.73","7407878.675","6327616.364","6260996.286","4669801.411","4504226.604","5041134.243","1216504.812","4661689.109","4883376.816","4153399.405","4643976.426","4427312.101","4199394.83","4437985.58","4152361.001","2816616.206","5083232.591","4089509.241","4249986.505","4235668.361","4694909.617","5713878.343","5574330.101","5113300.962","4185655.374","5298776.948"
"Indolelactic acid","5369455.519","3457177.519","8189911.876","4809619.301","5339307.466","4227629.154","5992037.363","9002596.036","7961914.904","5183378.484","9196350.454","5853298.404","6729025.114","9291572.38","13232807.51","12472974.37","8508306.468","8851095.137","10459410.61","10561513.3","20082875.04","13451792.47","19249040.43","15624470.54","18746508.64","11902252.15","7048395.069","16391620.43","21955466.6","15904232.56","19163411.62","10436473.99","38478856.17","27687765.55","20377425.75","18726660.37","12520904.24","15332467.15","14555272.56","19998815.59"
"Phenylacetylglutamine","15815344.89","3143675.382","8708522.171","2580121.512","3266330.031","3408788.027","7461783.841","3234456.097","3199792.008","4351305.459","3225364.129","13274666.97","5905049.021","20543616.53","10496453.18","4447822.835","4791115.031","3540324.942","11165243.66","6357946.233","8010104.109","57970577.03","10531871.29","65941802.6","22016348.15","56431092.51","7374981.461","66218143.76","14358190.33","4282645.447","18839659.39","10296261.45","39189416.13","58702158.73","22798632.72","38189323.59","17239154.23","47841944.05","44672704.73","9316997.197"
"N-Acetylleucine","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","160958520.6","26290788.83","27529702.74","27632718.5","9071238.923","6888112.896","7594685.897","7263696.436","2893063.208","2130970.197","1526689.087","1390371.506","4477428.486","912140.8868","1061326.144","3310885.28","3202069.822","2362456.415","1557467.695","1512418.565","2264836.678","4819543.017","5475122.533","2014027.556","1654482.326","7977465.56","2063763.379","627916.7615","694189.0251","1110904.666"
"Citramalic acid","11081579.53","6202867.797","13639344.48","12188387.95","12880713.26","17882436","12559811.87","14467213.86","16422747.24","12966970.14","12713041.74","17818808.03","22880424.1","34378614.24","15953334.22","28071356.94","20042184.42","23810796.49","33239004.01","25767220.16","51262778.68","29747995.19","65844064.57","39151353.48","44662355.59","20210696.79","86898070.8","141702117.8","33239437.1","22343737.23","31341634.08","36631113.72","37460019.13","53564257.2","65927401.17","147064859.1","29690160.29","27338556.98","28305418.54","26713915.62"
"Pentadecanoic acid","6785341.583","22023543.62","212361846.9","27788337.59","225386084.2","225095224.9","359975465.1","70437250.26","90089971.76","359325646.8","470573774.9","69731036.31","360649166.4","193207395.7","196721462.8","27034164.29","207154935.3","25512983.02","12468912.81","13205905.23","11306242.52","22643821.67","10824155.37","11852432.16","16703734.35","15063461","14388993.49","14489619.1","29176308.4","15496294.1","10010129.63","9319233.459","6350318.037","9666235.552","11392119.6","7969041.414","12300294.05","12734342.16","14062295.35","13681725.06"
"Ornithine","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","148380482.4","54888241.51","39362673.64","37262462.41","67119411.65","28395839.89","36096342.72","38874476.53","53492874.17","29904369.95","35935907.09","23639324.82","48507880.17","28914651.76","44593639.18","30914187.73","34725358.78","46219500.77","76398953.97","70811587.3","33681316.82","33220001.33"
"Abrine","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","1546467271","78383712.88","43005039.22","8354870.4","17037205.27","2513279.459","1943742.807","8684460.112","2822168.809","4836129.35","3422174.608","2276892.387","1795354.968","4475312.198","6249033.1","6914324.133","7478228.639","2434229.317","8074705.352","1485080.334","5510617.611","949160.5738","2739666.387","10414339.51"
"D-Octopine","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","351872115.3","27173195.27","11237109.02","11062497.91","4880869.543","5548184.422","10412066.89","10068491.48","7320412.55","10143527.76","6869695.216","9147668.274","6652267.054","4412350.165","7199684.319","11264622.06","3485710.898","8181334.378","10961203.98","5946646.528","7927161.526","7545845.359","5470396.928","7949795.608","11820225.31","6681043.215","6329798.374"
"L-N2-(2-Carboxyethyl)arginine","75603.39625","159177.2873","603820.4688","594946.1619","472562.3562","1265076.336","73843.9553","858663.5244","667800.0148","2022151.831","1188169.959","158993.1819","1661524.569","2594366.722","805090.6182","2893671.069","2207247.437","830331.6594","2512996.179","5173581.667","5193557.732","2956905.665","3433779.818","3924626.909","5348577.009","2312509.643","2774456.363","5540880.552","4013485.504","1937320.872","4372746.785","4286687.282","1641516.212","3310594","5334745.704","3068441.19","6779860.666","2643717.791","4128609.841","3583340.713"
"5'-Oxoinosine","1515740.457","2428119.189","3445829.073","4172602.695","7690516.739","6851027.932","1813048.415","1233231.14","4726194.515","7439467.041","4115228.079","7672072.442","5859538.04","15040439.18","1916744.695","12650594.92","8984037.05","12227397.41","47676041.75","16706947.06","30262423.23","13091617.5","7832935.018","32719072.12","18476493.21","1923554.172","20025092.56","14697062.07","8478975.344","10026544.65","14740347.1","8437514.57","10718593.14","15257727.82","13551230.02","12898835.23","9765330.953","9763372.347","8904939.599","12659865.58"
"5-Hydroxypentanoic acid","106756104.7","8875508.072","78977346.73","119925649.6","83774432.87","73746291.31","88914806.91","187820614.6","104352603.5","83500494.58","145572737","34366558.67","46419722.23","216640410.7","77789017.16","79101812.58","65385282.11","52537393.24","91243156.24","73711113.51","52060359.26","44699476.61","52095465.36","53927137.59","40044288.15","35666479.61","41786555.63","39819538.27","69750740.82","66657364.72","48339510.33","43806236.34","62739952.85","46882482.19","88939281.05","61453544.19","45501349.95","19864953.41","33253686.16","44820545.89"
"Dihydrouracil","175003509","74141746.18","201885879.1","177311124","556330647.7","449607699.7","91379403.71","789932816.9","101874553.3","103430127.4","385739881.1","382581409.4","362894932.1","118739274.4","740205554.1","133919207.4","604937558.8","457426483.2","150965636.8","730298709.8","423611930.9","106978161.2","92573855.01","359513067.5","78083245.39","219978065.5","556340525.1","211316006","59357953.52","369796644.2","137272894.7","236469277.7","308967518.1","223215098.4","45155449.91","153359609.4","40805864.21","106826944.6","399036548","96640269.05"
"Guanidoacetic acid","187281270.1","342285726.5","361541658","443939748.8","469066644.9","365681537.5","475238137.6","469975091.9","520861571.3","449673671.6","479044009.8","102709538.1","452696289.4","518436222.4","555328558.3","493199852.9","542732499.7","389011701.8","309641162","408167642.5","504625867.4","393334897.8","422479027.8","318973089.4","332905290.5","322968065.5","347926504.5","504777656.6","526750631.4","364851481.9","326659802.6","193891993.2","224227371.1","232111260","393246505.4","499158604.2","370896839.1","414615564.3","570059795.6","165866635.2"
"D-Mannose","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","531893560.8","184894351.9","588764098.4","1184662178","444215497.9","249447911","216692833.3","163116716.8","369425528.9","298571347.2","656535646.6","369790934.4","305320105","298302354.1","248902760.4","271649024","461917918.5","473688557.2","314034912.9","332962538.2"
"gamma-Glutamylcysteine","97834107.44","84986023.12","130619635.2","107056522.8","123405325.4","122625743.8","180264286.6","138483150","123334328.8","151162447.4","197899769.6","175482250.9","215358058","193708951.1","177051020.4","179472180","271751807.8","250275965.4","204893744.9","305789233.1","265354144.6","275723048.2","258809687","264704231","288098774.1","293923970.7","238184398.1","246697424.9","271137922.3","276800592.2","284872491.9","261991885.8","229651258.3","298783446.4","271825505.8","245799056.2","278844568.2","310549219.7","298800307.5","283070216.4"
"Acetylcholine chloride","147446904.9","127994944.4","137818241.7","130619196.1","123965298.1","131360802.8","149022273.5","147390450.4","132135085.4","157191751.1","165873632.9","142782377.7","110454941.4","159230888.6","149208485.9","167389869.5","183643265.3","180016461.7","190055038.6","221583847.2","207168392.5","212180984.4","201025898.1","203706838.4","203456288.7","224348161.7","180720670.6","185789949.4","201397824.1","202086784.6","222618669.6","191283069.3","181799298.5","205799752","210970231.2","191418490.5","234538110.9","238763827.5","205758349.9","202122153.5"
"Citric acid","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","76892185.74","69040190.25","33625089.22","15357087.65","13480987.3","11880912.06","11282741.79","18032999.24","16809654.95","15615377.96","11903487.59","15077522.26","11044983.13","6975934.537","13586235.44","11688459.11","11608117.63","11597986.37","16408778.33","14743013.99","14957998.46","14205650.09","11735740.44","10966378.41"
"L-2-Hydroxyglutaric acid","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","16353022353","638080125.4","254705232.3","56624720.23","193020290.9","56610101.61","388696349.3","51800660.22","216950088.9","55393971.55","221205908.2","50031397.09","52900124.8","192474843","50286991","194730358.1","48271501.67","7916624.335","490451401.6","7312370.785","228856042.2","49024658.28","221171770.8"
"Phenyl acetate","58088585.42","34952474.95","5844534.43","6996582.343","34327494.88","6404711.686","10042024.72","7500040.07","8117447.327","6785449.19","5445953.455","42250022.55","8423991.152","8055631.355","41276917.29","59407074.7","50885584.29","68780527.59","13538066.43","76508001.04","115684183.4","121902986","98105620.8","112367739.8","118405736.6","103935242.9","79774711.2","109318731.9","120768653.4","107671810.5","86883513.01","132622318.7","95146285.36","138025096.2","133422790.6","123186464.5","140995759.9","157167665","150586525.5","103233347.4"
"D-Galactose","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","403540008.1","144988268.1","111552332.4","79791857.47","128826507.9","244351816.6","108853483.9","108722859.6","70048633.49","76266368.61","81993891.55","77816009.11","156383735.9","100114229.2","102690204.5","94891373.49","109221136","87043908.83","111662597.7","103383151.1","77580732.89","81837585.92"
"17a-Estradiol","68605535.78","145096668.8","156669420.8","131187373.1","37084507.54","241502027.6","128601943.5","98557071.85","119201909","185851704.9","94178370.62","99486888.59","114941154.7","127793981.1","85660955.75","202396175.9","112937342.4","62561000.38","116807334.6","107724226.1","114675270.3","171313221.5","94710009.32","82335158.34","103788640.7","111246293.5","103938656.5","139598353.8","135327029","131782230.1","74223874.51","87264586.03","159980767.9","136839019.2","65930272.79","140602729.9","96095075.61","93864683.86","205022734.6","123185052.1"
"Glyceric acid","10077672.29","5037111.991","4852482.985","10864964.58","10543391.55","8215561.544","8224325.068","8192521.042","7083246.219","8125369.22","9622994.418","24754701.73","10231188.71","12892943.92","8452963.274","22895923.33","9952548.015","9896948.061","20233978.29","23433178.64","89539252.3","39575572.99","37090612.05","106558013.4","97538877.52","24562180.02","45393204.5","102496031.7","57996106.6","68322204.52","180811038.1","64183169.98","58521922.93","80531667.52","89084502.72","57735574.27","133658084.9","83430260.08","89123039.29","107907584.7"
"L-Malic acid","14820872.41","6113942.427","13867831.2","12341320.73","20918341.93","17595516.81","11022705.14","14396046.03","14324362.69","12598855.52","16114925.44","18916804.49","12075950.46","17163034.37","15220234.11","21286517.68","14777207.32","29631223.05","32045553.5","22295483.19","30087458.47","39340910.29","32630017.3","83154444.89","38419863.2","29840373","82534104.83","74091484.51","33431489.22","30413059.27","40882070.06","26601413.7","55537199.66","31706955.76","39355340.4","79918099.36","32085444.26","28767961.79","33219361.9","32292584.19"
"Ribose 1,5-bisphosphate","15873958.99","13820244.73","12082601.63","17096796.26","21205283.86","15209714.26","20249856.95","14709321.98","18482752.98","21476803.1","24306050.28","23474216.06","39498058.04","3037257.986","25275955.32","21459613.02","28390045.37","18791703.3","29673101.79","26089812.95","39102846.99","50677625.87","46587707.14","43044019.55","45366587.07","57155671.83","42911671.48","52530193.64","41098444.55","41365582.11","35981405.23","49088796.71","48177094.41","49106709.92","57616526.42","42687049.71","37183493.97","45790012.49","53502272.54","47232717.64"
"Epiandrosterone","57351980.5","55527038.2","62251248.25","48685228.22","43565498.52","51362242.7","72641706.89","62038258.35","47429414.45","71180840.23","59700830.46","74617739.67","56609266.99","56128904.3","41242731.07","44625118.86","61343126.26","63572592.47","56741545.43","68328957.26","35176549.52","45919279.18","40784175.53","33790189.41","43961998.95","45222706.23","35637243.91","41461408.54","46748514.82","51294592.26","43225115.25","41805690.87","35477905.6","51517964.44","39101419.87","37054110.47","42095130.54","46685784.13","41827524.23","33633373.34"
"Oxoadipic acid","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","3111698281","923511433.1","358546499.3","203525091.1","146062297.8","97992917.69","93577262.3","92365561.6","102607989.3","45374327.72","51817822.59","39309377.04","36416844.19","39476563.38","24556053.14","32334825.73","36058076.2","19136892.42","40659396.78","21872940.46","20217342.78","49035817.79","57494829.5","50438666.85","47271683.77","42149304.36","39752177.22","26064585.59","50043795.25","40992529.54"
"Putrescine","6542348.528","6256626.792","7252662.468","6221418.279","5749942.478","10482970.17","6258351.73","5190192.424","6356506.512","8423831.736","7558145.434","6676150.262","8822844.62","8945326.88","9652764.322","22315607.38","12528004.68","12248343.81","16459451.08","16406460.94","35692280.69","25494095.64","34249891.91","52345935.95","25676216.63","24411055.18","29673765.63","30470705.35","25459255.54","30955124.46","33045825.75","25517948","41988364.82","31493191.28","27415732.77","30971101.25","26973810.92","22356876.35","22103793.01","23974875.43"
"Erythritol","32361158.39","25409033.72","29163299.18","26952610.83","21199532.25","20519694.37","26305947.48","24367670.23","35238817.56","19058367.51","24312900.64","23401325.22","19739327.5","23170405.63","27672107.3","25509091.22","22203552.99","31722048.3","21349465.8","22289150.09","22259460.07","18914592.85","28416274.31","23188344.51","26901973.37","23275286.45","21356275.54","21997278.47","23603888.17","20479939.51","29434231.06","24651075.69","28373613.18","21925210.3","23962363.3","26157598.14","25971846.17","22875793.8","21354724.21","26046081.69"
"4-Quinolinecarboxylic acid","7315475.081","5108599.877","4555735.403","4723788.392","5431923.922","4695247.069","5155990.898","5880058.868","3687513.472","7833090.674","4784444.409","5380429.856","5342766.97","4914555.335","9193936.123","9314644.356","10681645.25","9415680.741","11993891.39","10562409.93","13226431.77","11309134.92","11483054.16","8587849.526","9954546.374","14516325.67","6454015.834","4885724.988","7673776.228","11633532.19","6069378.453","11689599.14","11646388.54","11903863.55","12685549.98","6916269.487","12106683.84","15683316.03","13481404.41","11527853.1"
"12-Hydroxydodecanoic acid","4912421.587","11069034.02","4138127.898","4098249.587","4326011.875","11785335.2","2198014.077","13583538.41","5770130.434","3969853.356","8788158.72","10418598.46","6137600.991","637974.2114","5261321.366","12878592.6","5836089.263","4708752.074","10708579.04","17118356.15","7722471.092","5192008.235","4480906.233","17657104.21","15703630.5","19463400.86","8687887.937","10320183.34","14689342.97","1890327.356","3926377.751","2151673.877","5038019.163","10155987.58","9642216.05","12779340.9","7892373.55","6772525.377","9740945.703","3474885.169"
"6-Methylmercaptopurine","503856.7031","319594.5034","3704485.911","472339.1747","997893.0839","1170573.844","1076629.037","707358.3275","923857.1456","423403.642","835060.5799","552238.3105","9375352.239","750007.7446","807786.2737","5078246.333","968004.4447","2191658.794","1474469.977","3074685.525","10479728.74","9702420.78","17974488.93","18951145.32","8421899.101","13591855.37","16966218.92","11094319.02","8427933.866","6752481.788","15712600.35","7979761.323","9527160.451","7837789.799","6774995.492","34995518.15","10909541.09","9617178.851","3892016.979","10919807.55"
"Adenine","620221.9892","147008.158","452655.0497","694727.6247","131608.5977","136661.8389","335811.6585","359718.1413","599846.8979","557418.9712","155605.6553","174155.7639","186373.4653","1572732.334","206849.8952","245734.838","261534.3961","2145248.454","1967377.683","567499.8199","3239106.519","13783006.03","3368620.419","3189004.76","19974745.33","12468941.4","18193885.71","3307138.962","3275534.963","3376302.147","20296415.08","12368383.64","3328342.987","3280779.073","3363565.97","3040868.11","3453355.747","8576937.717","3228231.527","1915820.635"
"Tetracosanoic acid","16013326.75","16530811.25","20099535.56","32527767.14","33988751.83","10514240.23","19449885.17","11113802.24","29651260.55","14179488.84","11157583.9","20252427.26","16999849.68","21767320.02","11702767.1","10900821.9","6630791.559","11869479.66","17671402.13","9090365.619","6510901.024","12996373.05","7137616.619","5817255.473","8716714.109","6651207.413","11982639.66","7699392.05","9309601.471","2938407.886","8035597.83","11094040.5","1224162.64","5834306.999","6764714.304","6555707.219","30943854.01","5352845.313","2346609.866","3083579.265"
"D-Xylitol","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","10.63188616","19094732.08","9492032.973","5675638.765","30637997.25","203930.5575","13076936.97","6613538.849","9288104.207","6030394.086","3131761.088","20330149.33","7303279.432","11051707.07","4975462.25","8953986.731","10299830.89","7637833.314","4387671.15","4900046.957","6631495.696","52023144.11","943504.0846","50094554.43"
"Quinate","2644024.999","1920162.513","2282062.94","3066658.382","2822324.363","4886919.662","2322072.014","1340737.155","2824164.368","6124079.477","1603686.752","4062996.173","5036496.185","2961772.657","2615030.847","7699124.508","4660440.794","3202934.286","10273954.04","7610463.249","15055931.24","9293419.906","5888959.628","13956236.23","10559227.34","3577742.212","8669206.863","9050867.097","6990207.189","5950361.667","9679546.53","8082888.449","6670134.349","8822235.023","9974858.852","13502793.08","11846083.97","8807235.236","9873854.944","13342717.27"
"N-Acetyl-D-glucosamine","15221987.78","31395375.5","20260412.98","19336727.17","29942138.63","24258507.22","13253490.58","30726143.82","24912592.42","9948675.09","11875117","16310908.9","6106175.62","10875685.96","6936934.308","9425204.751","11161353.48","5263506.071","11140280.51","5914730.273","1125400.807","784761.5715","3741067.136","6697519.263","6908262.777","11672201.37","7320361.564","8158231.181","8218887.139","354169.5843","6625112.313","3478488.635","4306659.716","4320601.512","5578343.597","8233758.047","7558827.283","8655798.858","5966040.734","7000004.502"
"Deoxyinosine","1686367.027","3277200.38","8531516.425","4465440.048","6131485.833","3129145.02","2142772.804","9208676.575","9968251.26","3621763.07","4533306.484","792836.2844","2742536.566","3531644.679","2972309.855","1805825.167","3147989.061","4274723.483","1737722.465","1258087.289","628527.2909","202395.1823","1624402.599","634634.5437","2837454.088","148919.0749","5702.745307","446859.7135","1260447.806","1083000.814","696310.0043","857138.8786","6620.865721","1120889.803","939635.4539","2511427.119","1118513.889","933528.9237","71594.82468","994314.8536"
"Ethylmethylacetic acid","480689.1576","388757.3758","427596.138","397170.1805","113369.4759","113563.3825","127518.8672","127540.7419","430776.1446","535654.4985","574062.6641","160043.3091","550228.9835","175265.7978","201271.024","226761.6643","854935.8581","1219456.325","1710814.562","2600670.486","9045320.66","28196291.73","7705852.106","7385269.429","6194105.115","46712713.49","20694196.17","4100959.485","4179430.59","3486435.269","3835121.753","3710030.248","3261539.406","3232892.678","3131564.256","14320855.65","2795777.555","11345846.94","2289644.835","2069366.197"
