"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Retinoyl b-glucuronide","18567583.49","24765244.45","27159591.45","28805621.67","19483497.83","21517338.46","33134231.37","23215988.19","14374165.06","25936456.8","29581681.66","31896061.82","25975296.15","51515620.21","24455258.18","21085876.45","20004614.04","30019878.91","11310043.36","22180306.23","10933201.37","11829886.57","3377570.469","3595582.966","5264401.933","3691761.733","2361734.814","4076106.821","1676958.13","5882860.244","3839120.744","5626972.669","3123699.827","3662835.772","4718599.799","4064267.122","3905703.647","26323433.02","23108412.67","1046.65582"
"Dammarenediol II","11670241.58","27023803.78","17805770.68","26289476.98","4133480.679","14369915.1","20992896.9","12966463.96","19228476.71","13989434.88","55600961.68","23794339.99","25407003.74","7042051.532","20820164.52","17528699.32","31045448.15","41127040.98","145775266.7","17367300.7","15078597.25","207846.1587","704586.6225","2162830.724","2330865.463","2590483.408","7761893.766","3175102.827","6988894.315","17251612.41","17350413.5","6098039.272","2823676.732","15583157.7","17060281.36","15617263.35","8606746.764","7585779.575","6878950.544","1736693.235"
"Tetrahydrodipicolinate","5402663.925","4878558.487","6189729.453","4735603.468","11277825.36","13384146.78","1902162.134","1222531.381","5695565.287","1300022.123","2018031.655","10526672.15","8623950.242","9406769.909","6493855.471","7380103.195","9530175.693","2330812.306","6876981.238","11669956.81","20853769.63","12579824.95","9672732.382","15182772.17","14189782.29","9621815.371","15387291.16","35156285.79","8929855.155","19776701.95","44096232.92","15973751.69","14635093.48","22622455.1","16584169","10152800.52","21064386.86","18151192.4","14058607.25","9819110.646"
"6-Hydroxyhexanoic acid","16101829.29","12603689.28","20199337.44","16695436.85","18963068.07","12905724.83","19080793.78","13844287.83","15567606.44","15754126.63","12160652.51","13314030.73","12546233.68","9580472.404","12480996.46","13105686.22","14646337.5","12924105.51","13240381.97","11177417.97","15377346.98","15428259.78","17068602.02","17276145.65","22818977.54","28357803.45","24979191.89","45886418.01","42488148.21","36671054.77","72871012.41","77556318.6","49796198.7","35444719.44","54355099.01","69404488.02","50031953.4","36979118.58","7321458.173","17073974.54"
"1,2-Dehydroreticuline","9722923.147","8296209.533","9778986.997","9542648.157","5340948.56","7443046.718","8209609.881","1472060.233","4139698.13","9720846.911","5093355.266","10160871.98","7137912.365","6401169.536","5809449.843","6844031.001","9827387.401","7956097.567","7259759.34","8155814.671","9931804.011","8082611.102","5372913.165","5270749.106","8374323.666","5512488.946","6389156.571","8678698.894","4188827.763","4337279.953","5800330.014","6290226.011","4724081.442","5244693.231","6997358.627","8070749.802","6405882.186","6757459.51","4201971.33","7499222.764"
"Prephenate","11447309.06","10208253.54","15619924.98","13525677.98","7613079.28","12732047.01","11188640.23","17184855.98","11425140.37","14613051.42","11231972.25","11785255.19","9597955.322","13305759.42","9907613.877","12265918.27","11724434.01","8677694.126","9448773.506","5539870.551","9339290.182","8594907.795","9048533.747","7037454.792","9646769.947","7011466.854","7984190.943","8572552.931","6834510.005","6164736.78","8190677.566","7548913.631","9737995.776","6941317.751","6350625.214","9268007.227","6199891.823","7791432.782","4298388.833","8510685.134"
"(2'E,4'Z,8E)-Colneleic acid","11759777.73","15330245.28","15603393.65","15501886.78","15981889.28","7125417.361","18048690.05","9788245.618","12470449.05","10403672.89","7026131.604","13170643.29","11461948.3","12773747.32","5387205.789","7551267.921","5576063.695","7574078.699","4359361.918","4600788.357","1997638.966","3626620.181","1086752.459","1900627.499","1537402.61","1491058.321","769825.1467","2006308.763","1378931.673","1531986.613","1277101.071","1657882.757","1673419.277","2619643.357","694664.7775","2166414.029","1451450.795","2103521.623","1046849.5","13979376.88"
"5-Methylbarbiturate","7794060.784","8178003.164","5678293.439","8867328.09","5308294.185","4310195.762","10479926.6","9092602.213","9793071.275","7960247.948","10036712.12","6011265.424","6156002.074","6596646.085","5603940.22","5785608.53","4891455.203","7626367.267","5864533.624","5693094.481","46070943.42","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"5-(Methylthio)-2,3-dioxopentyl phosphate","11469304.85","3031316.246","6821161.948","9799118.564","9030421.517","3709235.714","30445529.85","27730816.36","16020344.7","19728101.06","29911215.32","16058837.11","2632989.723","13498932.1","17062236.93","4224923.183","19064523.43","29165016.43","5920207.329","5796564.96","12343498.07","4179575.552","8922376.091","1784821.737","765077.862","881592.6679","636170.5378","355233.2305","4027941.593","1400230.095","959453.139","5275486.417","7237139.48","4744031.592","5419582.545","2320792.783","2149785.583","296886.7063","1222050.717","1046.65582"
"Hydroxyindole","13287545.66","14611111.77","13507545.33","10012158.11","13193246.47","8436675.429","15754788.21","11652773.52","13672629.61","8831144.427","10885390.26","12985654.78","2110755.616","12533041.55","9183778.108","9787493.826","6853036.403","9054621.076","8522308.874","7104514.151","7953841.874","5508473.373","3659156.856","3251512.118","4492668.855","3884472.04","2664613.454","4923349.011","2678763.877","2781421.435","2918080.71","2594447.968","3788031.141","3418350.691","2596107.496","2952007.343","2969901.12","3083955.811","3471207.249","3123131.887"
"Butyryl-L-carnitine","13875207.38","7878462.137","8173516.009","8675029.366","8302395.845","10014762.16","8287242.315","6537577.433","2337282.053","9113165.124","6712979.128","9284061.298","12439120.43","6046129.213","9462839.092","3327837.776","12037230.44","3150090.429","3179412.72","3320180.269","9479775.046","9250383.529","27493722.07","6070273.496","7778238.942","5562206.359","9352033.92","5051491.545","49901001.89","9698007.892","7054017.964","9257329.703","6372635.436","6588693.114","5229664.154","6910700.106","5851896.48","6022989.381","20151229.83","2756918.174"
"Imidazole-4-acetaldehyde","15865604.02","13868677.81","8688232.66","8766057.682","7760340.523","4615595.759","7473354","6971211.52","8772978.286","9447005.292","9052798.519","13502331.12","9873224.928","9527278.842","5063644.286","2397276.18","5547400.701","16953526.97","2928551.174","11298446.67","9420680.601","8936836.51","9452117.003","6493168.586","7264859.045","7046372.651","7696888.902","10556108.92","10134646.44","9389991.89","7353847.457","10352419.91","19061578.3","8691530.981","16858357.33","10763557","9482060.813","9189043.769","10345737.04","8158667.405"
"2-Pyrocatechuic acid","7998141.6","7239486.993","7972832.306","7577951.16","7828758.782","7977738.941","5502315.182","4550717.108","8233531.806","4882523.662","5127347.796","5888087.046","6904178.679","6036596.215","5647994.34","6357989.433","6938819.508","5219571.885","6630108.206","6659369.736","7569899.934","8959879.257","9549559.62","8542006.612","9125202.276","8681289.423","9354887.987","9371184.596","11192912.44","9009834.675","9415885.596","9772537.884","10879792.17","9346429.317","10231665.01","10147624.41","10112254.86","9974049.716","10962644.31","11777360.72"
"Gulonic acid","28931007.38","20940520.51","64448279.43","85451679.97","17783624.49","43167310.55","15736331.01","30916134.45","24485395.61","31765262.62","23550438.37","11698960.63","6359991.072","19163064.81","21208526.63","17324464.34","12844522.7","16298865.51","5114552.712","8011682.783","12459618.86","13496607.72","10908786.64","10839029.15","7724440.451","4652760.687","8342607.219","8938579.169","22265023.48","13276014.15","16604755.8","8341251","43554310.83","9292475.836","9296335.888","23013495.46","11242043.82","2731662.46","2462021.944","1543450.397"
"Se-Methylselenocysteine","6519807.947","6213493.832","4552712.555","6812343.263","6059344.176","4797839.584","9116152.91","11665573.83","6261518.875","5565745.292","11105435.1","5949482.477","5511091.412","6086543.962","7333647.687","6951452.594","3404281.908","13231360.53","6661004.957","8315353.393","9092976.784","9795712.031","10629156.49","12192617.49","10720851.39","15670004.78","7700061.977","10675651.27","11683848.39","7909436.412","12894953.51","15397077.71","11305693.95","15313009.45","16317134","13159188.27","12645501.32","10165653.43","10112248.83","4890142.309"
