"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"1-palmitoylglycerophosphocholine"," 0.11083094","-0.01988447","-0.10285473","-0.12723100"," 0.30057375"," 0.67288400","-0.03810439","-0.02779762"," 0.80159717","-0.06426527","-0.12657734"," 0.32477814","-0.04103559","-0.06681841","-0.06350191"," 0.71268268","-0.10689783","-0.08357522","-0.07496108","-0.13628303","-0.16365377"," 0.28435476","-0.17775118","-0.15890429","-0.19295219","-0.08058427","-0.15534061","-0.17455170"," 0.21641069","-0.19840283","-0.15120743","-0.13027452","-0.16138341","-0.09192683","-0.13794932","-0.19788871"," 0.02991764","-0.10584158","-0.15739315"," 0.06176391"
"Phthalic acid","-0.0681948841","-0.2817466209","-0.0596944779","-0.2920356478","-0.2886571148","-0.1153406040"," 0.3309315554"," 0.0073511250","-0.1373737271","-0.2676530380"," 0.3134323871"," 0.0004666143","-0.2468471555"," 0.1949793465"," 0.1529051619","-0.2155851709"," 0.6866567587"," 0.0673878491"," 0.3144726559"," 0.2508272165","-0.2887676623"," 0.2786367116","-0.1192727755"," 0.4737836221","-0.1836457989"," 0.4233858324","-0.0315036089","-0.1697405212","-0.1244893735","-0.1181369401","-0.0191454132","-0.3001097145","-0.3072127000","-0.3133432413"," 0.2481259523","-0.1628779421","-0.1438727601","-0.1929316530"," 0.4159728962"," 0.2888628608"
"Phloroglucinol"," 0.005014539","-0.048838240"," 0.001876542"," 0.004960907","-0.034393453"," 0.014556480","-0.040864288"," 0.015856594"," 0.009566427"," 0.018936872"," 0.024615598"," 0.017105146"," 0.030607876"," 0.043839053"," 0.047940494","-0.009214038","-0.018878126"," 0.049651562","-0.004086410"," 0.090019087"," 0.028199051"," 0.934396108","-0.065603892","-0.065603822","-0.065603881","-0.065603764","-0.065603712","-0.065603844","-0.065603809","-0.065603696","-0.065603848","-0.065603713","-0.065603752","-0.065603809","-0.065603709","-0.065603848","-0.065603719","-0.065603659","-0.065603665","-0.065603639"
"Skatole"," 0.02605524","-0.02316102","-0.04005785","-0.06323681","-0.01959276"," 0.01039390"," 0.08643212","-0.05538978","-0.12974372"," 0.02132670","-0.11902733","-0.04198942","-0.07624756","-0.14017807"," 0.11010604"," 0.04061582","-0.01672698","-0.05001913","-0.12516460","-0.07021342","-0.04035019","-0.08323662"," 0.05094319","-0.11964649"," 0.06107946","-0.03909329","-0.06606143"," 0.03746898","-0.08622123","-0.11164851"," 0.04735236"," 0.04871900","-0.12542881","-0.07856976"," 0.05181390"," 0.14734742","-0.04893472"," 0.19261307","-0.02214963"," 0.85982193"
"3-Indoleacrylate"," 0.28528842"," 0.15370804"," 0.13932717"," 0.07344570"," 0.12491339"," 0.08544343"," 0.37365124"," 0.19848882"," 0.09568525"," 0.28865613"," 0.02012214"," 0.14290713"," 0.13683486","-0.01394649"," 0.35343834"," 0.31755692"," 0.06444938"," 0.05787247","-0.01759165"," 0.02549489","-0.02862512","-0.09939531"," 0.02765776","-0.61157670","-0.01666589","-0.09691888","-0.62634876","-0.04742460","-0.22502105","-0.21457819","-0.06535416","-0.05533278","-0.27225726","-0.28234710","-0.10651797","-0.10615444","-0.19095994"," 0.01653093","-0.25295351"," 0.34849740"
"Sebacic acid","-0.30859204","-0.29094386","-0.32652739","-0.37563580","-0.29166141","-0.15195283","-0.35541854","-0.11800859","-0.28547048","-0.23137027","-0.20995920","-0.24903408","-0.13405413","-0.19253109","-0.09078204","-0.19290302","-0.13052333","-0.29766321","-0.31828591","-0.10126838","-0.23507673","-0.12619107","-0.06138103"," 0.16444462","-0.05368040"," 0.27150146"," 0.42193336"," 0.08236051"," 0.20978531"," 0.45403287"," 0.05452793"," 0.36363188"," 0.45766339"," 0.10091354"," 0.50546318"," 0.13234900"," 0.35197727"," 0.62436420"," 0.58920254"," 0.34476378"
"p-Hydroxyphenylacetic acid","-0.036201738","-0.035189046","-0.035570301","-0.035438978","-0.035756906","-0.035717569","-0.035398858","-0.035327164","-0.035871252","-0.035740056","-0.034653788","-0.030439020","-0.031173769","-0.031678001","-0.026254746","-0.028908652","-0.025120488","-0.031968037","-0.031608250","-0.029894577","-0.033517663","-0.020692057","-0.018087494","-0.004608247"," 0.017524186"," 0.044552277"," 0.011950276"," 0.004844017"," 0.962022665","-0.037977286","-0.037977335","-0.037977292","-0.037977304","-0.037977322","-0.037977291","-0.037977335","-0.037977294","-0.037977275"," 0.069902231","-0.034183262"
"L-Arginine"," 0.18573333"," 0.31295663"," 0.31935941"," 0.52335435"," 0.11394631"," 0.16763996"," 0.01243800"," 0.24747435"," 0.06756324"," 0.30368907","-0.03604290"," 0.09901358"," 0.01998887","-0.02238591"," 0.03181668","-0.05366005","-0.03595656","-0.04437510","-0.03785895","-0.01106656"," 0.60585132"," 0.80160473","-0.19839527","-0.19839432","-0.19839512","-0.19839353","-0.19839281","-0.19839462","-0.19839413","-0.19839259","-0.19839468","-0.19839283","-0.19839335","-0.19839414","-0.19839277","-0.19839467","-0.19839290","-0.19839209","-0.19839217","-0.19839180"
"3-Methylxanthine","-0.063638094","-0.060528580","-0.067416683","-0.057074195","-0.064171499","-0.058809605","-0.062026293","-0.066584966","-0.066506803","-0.010998398"," 0.055904334","-0.012628976","-0.071860528","-0.072134811","-0.069386185","-0.077065592","-0.042231936","-0.078679319","-0.079832704","-0.029594020"," 0.062062093","-0.022868702","-0.037569372"," 0.084597122"," 0.009252878"," 0.014800259"," 0.078389412","-0.034727340","-0.038612890","-0.020197293","-0.007185790"," 0.023265800"," 0.094422005","-0.006291336","-0.002201144","-0.034822705","-0.029688620","-0.007712599"," 0.010185781"," 0.920167296"
"(S)-Piperidine-2-carboxamide","-0.32258358","-0.29542536"," 0.06846529"," 0.13224335"," 0.10113344"," 0.25197238","-0.30669457","-0.26621812","-0.24437216","-0.14265304","-0.22694659","-0.02736784","-0.26996088","-0.27382151","-0.26726316","-0.26532877"," 0.34757039","-0.32987336","-0.20578791","-0.24584205"," 0.62582345","-0.17402191"," 0.09590993"," 0.67012664"," 0.11567451","-0.13885111"," 0.20679172"," 0.10101460"," 0.53610555","-0.22605210","-0.11267333","-0.22789155"," 0.07713410"," 0.59978893","-0.08272036"," 0.11777503"," 0.18739620","-0.21666441"," 0.35674173"," 0.27734645"
"Uridine","-0.018631286","-0.036802955","-0.023904453","-0.021528135","-0.026758032","-0.027192339","-0.029630341","-0.026988953","-0.027490038","-0.013035282","-0.027329591","-0.026737305","-0.036009205","-0.032925185","-0.019430791","-0.015606212"," 0.002852332","-0.031001699","-0.032063155","-0.038202319"," 0.029290233"," 0.033408480"," 0.006605820"," 0.133254677"," 0.186177528"," 0.927847607","-0.072151844","-0.072152375","-0.072152232","-0.072151780","-0.072152393","-0.072151849","-0.072152003","-0.072152235","-0.072151832","-0.072152389","-0.072151871","-0.072151631","-0.072151654"," 0.129806689"
